nama_produk,pred_qty_arima,pred_rev_arima,pred_qty_lstm,pred_rev_lstm,pred_qty_ens,pred_rev_ens,aktual_qty,aktual_rev,bulan,tp
AS 6mm KIPAS ANGIN KECIL 7 IN 9 IN BATANG BESI,15.69,105114.13559322033,17.49,117173.11864406778,16.769999999999996,112349.52542372879,12.0,78800.0,2024-04,True
"AS DINAMO KIPAS ANGIN MODEL COSMOS,MIYAKO,UMUM-RRT.",13.87,89712.3404255319,15.35,99285.10638297872,14.758,95456.0,24.0,146000.0,2024-04,True
AS EXHAUST FAN MASPION EXOS EXSOS EXAUST KIPAS ANGIN,10.4,59853.0612244898,9.67,55651.836734693876,9.962,57332.32653061225,21.0,121000.0,2024-04,True
AS EXHAUST PANASONIC NATIONAL DINAMO MASPION EXOSOS FAN KIPAS ANGIN,2.72,16505.570093457944,4.24,25729.271028037383,3.632,22039.790654205608,4.0,25200.0,2024-04,True
AS Exhaust/Exaust/Exsos Maspion Panasonic National multi kipas angin.,4.89,28530.927272727273,2.15,12544.272727272728,3.2459999999999996,18938.934545454544,0.0,0.0,2024-04,False
AS FAN KIPAS ANGIN COSMOS MOYAKO DRAT KASAR DINAMO PLAFON DINDING PORT,26.03,165782.17777777778,18.27,116359.59999999999,21.374000000000002,136128.6311111111,20.0,120000.0,2024-04,True
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS,25.57,163008.75,16.0,102000.0,19.828000000000003,126403.50000000001,50.0,310000.0,2024-04,True
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS - KASAR - as drat halus,20.49,127482.59433962264,17.5,108879.71698113208,18.695999999999998,116320.86792452828,6.0,39000.0,2024-04,True
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS - KASAR - as drat kasar,27.98,172077.0,17.28,106272.0,21.560000000000002,132594.0,8.0,52000.0,2024-04,True
AS KIPAS ANGIN REGENCY 10 CM DIAMETER 10 MM,13.87,116027.88461538461,13.06,109251.92307692308,13.384,111962.30769230769,3.0,25500.0,2024-04,True
"AS fan kipas angin Maspion16""panjang20,5cm plafonportabledindingdinamo",22.84,147626.42335766423,18.71,120932.15328467154,20.362000000000002,131609.86131386863,45.0,292500.0,2024-04,True
"AS fan kipas angindinding portable panasonic Nasional KDK pajang20,5cm",1.27,11603.181818181818,1.47,13430.454545454544,1.3900000000000001,12699.545454545456,2.0,26000.0,2024-04,True
"AS kipas angin model Maspion 18,5 cm.AS Maspion 12""/inci",21.48,136970.2656716418,14.35,91504.80970149254,17.201999999999998,109690.99208955222,63.0,390500.0,2024-04,True
"AS kipas angin model Maspion 20,5 cm.AS Maspion 16""/inci",50.17,324620.99285035627,24.28,157101.80798099763,34.636,224109.4819287411,13.0,84500.0,2024-04,True
Arang Mixer karbon carbon brush mixer blender umum,25.13,109960.72972972973,4.27,18684.135135135133,12.613999999999999,55194.77297297297,9.0,36500.0,2024-04,True
Arang blender carbon brush bostel arang sepul blender plat kotak.,16.0,71586.51685393258,5.83,26084.337078651686,9.898,44285.20898876404,0.0,0.0,2024-04,False
BEARING 629 NKN 2 RS BERING BUSHING BALL LAHER BANTALAN,1.83,12569.8125,5.01,34412.4375,3.738,25675.3875,5.0,34500.0,2024-04,True
"BOS KIPAS ANGIN BOSHING BOSSING BOSING BREKET KUPING 7 "" 9 "" IN AS 6MM",4.18,25931.063063063062,4.01,24876.45045045045,4.077999999999999,25298.295495495495,5.0,32500.0,2024-04,True
BOSHING BOSSING BOSING KIPAS ANGIN REGENCY 10MM BULET BOS MESIN CUCI,30.27,105062.125,11.85,41129.375,19.218,66702.475,30.0,105000.0,2024-04,True
BOSHING BOSSING BOSING KIPAS ANGIN REGENCY 10MM GUCI BOS MESIN CUCI,14.58,50568.3,2.62,9087.033333333335,7.404000000000001,25679.540000000005,4.0,14000.0,2024-04,True
"BOSHING BOSSING BOSING KIPAS ANGIN REGENCY BOS MESIN CUCI 12 "" GUCI",4.77,22384.928571428572,2.61,12248.357142857143,3.4739999999999998,16302.985714285714,2.0,9600.0,2024-04,True
Bos kipas angin boshing Maspion Gentong guci Dinamofandindingportable,8.67,19721.359999999997,13.65,31049.199999999997,11.658,26518.064,10.0,23000.0,2024-04,True
Bos mesin cuci bulet 10mm boshing fan kipasangin dinamo regenci umum,7.06,22378.342105263157,6.94,21997.97368421053,6.9879999999999995,22150.121052631577,4.0,14000.0,2024-04,True
CASING COVER TUTUP IMPELLER CAP SHIMIZU GOLDSTAR 130 PS 128 130 135,1.95,45080.92105263158,1.42,32828.15789473684,1.6320000000000001,37729.26315789474,5.0,117500.0,2024-04,True
ELEMEN BODY SAMPING MAGIC COM PEMANAS RICE COOKER KABEL SABUK HEATER,27.27,310963.21875,17.31,197388.09374999997,21.294,242818.14375000002,32.0,372200.0,2024-04,True
ELEMEN TUTUP ATAS MAGIC COM JAR PEMANAS TOP HEATER RICE COOKER KOTAK,32.9,300219.4900849858,18.22,166261.37110481583,24.092,219844.61869688382,68.0,624200.0,2024-04,True
FUSE KIPAS ANGIN SEIRING THERMAL 2A THERMOFUSE KOTAK 250V,27.86,31476.912280701756,27.23,30765.122807017546,27.482,31049.83859649123,10.0,13000.0,2024-04,True
GEAR GIGI MIXER MASPION BARU MT 1150 ADONAN MESIN (SEPASANG),2.57,20131.666666666664,2.73,21385.0,2.666,20883.666666666664,0.0,0.0,2024-04,False
GEAR GIGI MIXER MASPION SEPASANG,2.32,18260.333333333332,4.4,34631.66666666667,3.568,28083.13333333333,6.0,47400.0,2024-04,True
GEAR GIGI MIXER MIYAKO HM 620 625 650 GRIGI SESET SEPASANG,21.64,163860.28535031847,21.38,161891.53885350318,21.484,162679.0374522293,9.0,76500.0,2024-04,True
GEAR GIGI MIXER MIYAKO HM 625 HM 620 628 650 GRIGI,12.16,47236.92307692308,8.39,32591.92307692308,9.898,38449.92307692308,34.0,136000.0,2024-04,True
GEAR GIGI MIXER PHILIP SESET SEPASANG.,6.5,50050.0,7.26,55902.0,6.9559999999999995,53561.2,2.0,15800.0,2024-04,True
