nama_produk,pred_qty_arima,pred_qty_lstm,pred_qty_ens,pred_rev_arima,pred_rev_lstm,pred_rev_ens,prop_avg,pred_qty_arima_w,pred_qty_lstm_w,pred_qty_ens_w,pred_rev_arima_w,pred_rev_lstm_w,pred_rev_ens_w,aktual_qty_w,aktual_rev_w,bulan,minggu
AS 6mm KIPAS ANGIN KECIL 7 IN 9 IN BATANG BESI,15.69,15.59,15.629999999999999,105114.13559322033,104444.19209039547,104712.16949152542,0.4522512589743192,7.095822253307069,7.050597127409636,7.068687177768609,47538.000158031195,47235.01736543699,47356.21048247467,2.0,13800.0,2024-04,2024-04-01/2024-04-07
"AS DINAMO KIPAS ANGIN MODEL COSMOS,MIYAKO,UMUM-RRT.",13.87,9.56,11.283999999999999,89712.3404255319,61834.89361702128,72985.87234042553,0.6412850648776803,8.894623849853426,6.130685220230625,7.236260672079744,57531.18405011577,39653.79376489595,46804.74987898388,0.0,0.0,2024-04,2024-04-01/2024-04-07
AS EXHAUST FAN MASPION EXOS EXSOS EXAUST KIPAS ANGIN,10.4,7.81,8.846,59853.0612244898,44947.34693877551,50909.63265306123,0.4128265953773382,4.293396591924317,3.224175709897011,3.6518640627079337,24708.9354882175,18555.46020797872,21016.85032007423,1.0,6000.0,2024-04,2024-04-01/2024-04-07
AS EXHAUST PANASONIC NATIONAL DINAMO MASPION EXOSOS FAN KIPAS ANGIN,2.72,3.23,3.026,16505.570093457944,19600.364485981307,18362.44672897196,0.5972160139872738,1.6244275580453846,1.9290077251788942,1.8071756583254903,9857.390779802507,11705.651551015475,10966.347242530288,1.0,6300.0,2024-04,2024-04-01/2024-04-07
AS Exhaust/Exaust/Exsos Maspion Panasonic National multi kipas angin.,4.89,1.06,2.592,28530.927272727273,6184.618181818182,15123.141818181819,0.7682223064050795,3.7566070783208385,0.8143156447893843,1.9912322182019662,21918.09475333013,4751.1616438711535,11617.934887654745,0.0,0.0,2024-04,2024-04-01/2024-04-07
AS FAN KIPAS ANGIN COSMOS MOYAKO DRAT KASAR DINAMO PLAFON DINDING PORT,26.03,17.16,20.708,165782.17777777778,109290.13333333333,131886.9511111111,0.45579781247408885,11.864417058700534,7.8214904620553645,9.438661100713432,75563.15397830162,49814.20369833483,60113.78381032154,20.0,120000.0,2024-04,2024-04-01/2024-04-07
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS,25.57,13.75,18.478,163008.75,87656.25,117797.25000000001,0.3774604442751498,9.65166356011558,5.19008110878331,6.974714089316219,61529.355195736825,33086.7670684936,44463.802319390896,10.0,65000.0,2024-04,2024-04-01/2024-04-07
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS - KASAR - as drat halus,20.49,10.03,14.213999999999999,127482.59433962264,62403.632075471694,88435.21698113206,0.48030998751630116,9.84155164420901,4.8175091747885,6.827126162556704,61231.163295809834,29973.08774314166,42476.31796420892,0.0,0.0,2024-04,2024-04-01/2024-04-07
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS - KASAR - as drat kasar,27.98,9.24,16.736,172077.0,56826.0,102926.40000000001,0.5617264820774714,15.717106968527652,5.190352694395837,9.401054404048562,96660.20785644505,31920.669070534394,57816.48458489866,3.0,19500.0,2024-04,2024-04-01/2024-04-07
AS KIPAS ANGIN REGENCY 10 CM DIAMETER 10 MM,13.87,15.11,14.613999999999999,116027.88461538461,126400.96153846153,122251.73076923077,0.4067961080741589,5.642262018988584,6.14668919300054,5.944918323395758,47199.691889616035,51419.419210677595,49731.52828225298,0.0,0.0,2024-04,2024-04-01/2024-04-07
