nama_produk,pred_qty_arima,pred_rev_arima,pred_qty_lstm,pred_rev_lstm,pred_qty_ens,pred_rev_ens,aktual_qty,aktual_rev,bulan_pred
AS 6mm KIPAS ANGIN KECIL 7 IN 9 IN BATANG BESI,15.69,105114.13559322033,18.11,121326.76836158191,17.142,114841.71525423728,12.0,78800.0,2024-04
"AS DINAMO KIPAS ANGIN MODEL COSMOS,MIYAKO,UMUM-RRT.",13.87,89712.3404255319,18.28,118236.59574468086,16.516,106826.89361702127,24.0,146000.0,2024-04
AS EXHAUST FAN MASPION EXOS EXSOS EXAUST KIPAS ANGIN,10.4,59853.0612244898,8.68,49954.28571428572,9.367999999999999,53913.79591836734,21.0,121000.0,2024-04
AS EXHAUST PANASONIC NATIONAL DINAMO MASPION EXOSOS FAN KIPAS ANGIN,2.72,16505.570093457944,3.88,23544.71028037383,3.416,20729.054205607477,4.0,25200.0,2024-04
AS Exhaust/Exaust/Exsos Maspion Panasonic National multi kipas angin.,4.89,28530.927272727273,1.8,10502.18181818182,3.036,17713.68,0.0,0.0,2024-04
AS FAN KIPAS ANGIN COSMOS MOYAKO DRAT KASAR DINAMO PLAFON DINDING PORT,26.03,165782.17777777778,27.28,173743.2888888889,26.78,170558.84444444443,20.0,120000.0,2024-04
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS,25.57,163008.75,24.07,153446.25,24.67,157271.25,50.0,310000.0,2024-04
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS - KASAR - as drat halus,20.49,127482.59433962264,12.04,74909.24528301886,15.419999999999998,95938.58490566036,6.0,39000.0,2024-04
AS KIPAS ANGIN MIYAKO COSMOS SEKAI FAN DINAMO DRAT HALUS - KASAR - as drat kasar,27.98,172077.0,12.39,76198.5,18.626,114549.90000000001,8.0,52000.0,2024-04
AS KIPAS ANGIN REGENCY 10 CM DIAMETER 10 MM,13.87,116027.88461538461,22.22,185878.84615384613,18.88,157938.46153846153,3.0,25500.0,2024-04
"AS fan kipas angin Maspion16""panjang20,5cm plafonportabledindingdinamo",22.84,147626.42335766423,15.34,99150.14598540147,18.34,118540.65693430658,45.0,292500.0,2024-04
"AS fan kipas angindinding portable panasonic Nasional KDK pajang20,5cm",1.27,11603.181818181818,1.69,15440.454545454544,1.522,13905.545454545454,2.0,26000.0,2024-04
"AS kipas angin model Maspion 18,5 cm.AS Maspion 12""/inci",21.48,136970.2656716418,12.77,81429.7156716418,16.253999999999998,103645.93567164178,63.0,390500.0,2024-04
"AS kipas angin model Maspion 20,5 cm.AS Maspion 16""/inci",50.17,324620.99285035627,42.4,274345.826128266,45.507999999999996,294455.8928171021,13.0,84500.0,2024-04
Arang Mixer karbon carbon brush mixer blender umum,25.13,109960.72972972973,3.0,13127.027027027027,11.852,51860.50810810811,9.0,36500.0,2024-04
Arang blender carbon brush bostel arang sepul blender plat kotak.,16.0,71586.51685393258,4.42,19775.775280898877,9.052,40500.071910112354,0.0,0.0,2024-04
BEARING 629 NKN 2 RS BERING BUSHING BALL LAHER BANTALAN,1.83,12569.8125,4.22,28986.125,3.264,22419.6,5.0,34500.0,2024-04
"BOS KIPAS ANGIN BOSHING BOSSING BOSING BREKET KUPING 7 "" 9 "" IN AS 6MM",4.18,25931.063063063062,3.79,23511.65765765766,3.9459999999999997,24479.41981981982,5.0,32500.0,2024-04
BOSHING BOSSING BOSING KIPAS ANGIN REGENCY 10MM BULET BOS MESIN CUCI,30.27,105062.125,24.57,85278.375,26.85,93191.87500000001,30.0,105000.0,2024-04
BOSHING BOSSING BOSING KIPAS ANGIN REGENCY 10MM GUCI BOS MESIN CUCI,14.58,50568.3,2.35,8150.583333333334,7.242000000000001,25117.670000000006,4.0,14000.0,2024-04
"BOSHING BOSSING BOSING KIPAS ANGIN REGENCY BOS MESIN CUCI 12 "" GUCI",4.77,22384.928571428572,2.26,10605.857142857143,3.264,15317.485714285714,2.0,9600.0,2024-04
Bos kipas angin boshing Maspion Gentong guci Dinamofandindingportable,8.67,19721.359999999997,19.09,43423.386666666665,14.921999999999999,33942.575999999994,10.0,23000.0,2024-04
Bos mesin cuci bulet 10mm boshing fan kipasangin dinamo regenci umum,7.06,22378.342105263157,7.53,23868.118421052633,7.342,23272.207894736843,4.0,14000.0,2024-04
CASING COVER TUTUP IMPELLER CAP SHIMIZU GOLDSTAR 130 PS 128 130 135,1.95,45080.92105263158,1.53,35371.18421052632,1.698,39255.07894736842,5.0,117500.0,2024-04
ELEMEN BODY SAMPING MAGIC COM PEMANAS RICE COOKER KABEL SABUK HEATER,27.27,310963.21875,27.54,314042.0625,27.432,312810.52499999997,32.0,372200.0,2024-04
ELEMEN TUTUP ATAS MAGIC COM JAR PEMANAS TOP HEATER RICE COOKER KOTAK,32.9,300219.4900849858,28.22,257513.49575070819,30.092,274595.8934844192,68.0,624200.0,2024-04
FUSE KIPAS ANGIN SEIRING THERMAL 2A THERMOFUSE KOTAK 250V,27.86,31476.912280701756,45.76,51700.771929824565,38.6,43611.22807017544,10.0,13000.0,2024-04
GEAR GIGI MIXER MASPION BARU MT 1150 ADONAN MESIN (SEPASANG),2.57,20131.666666666664,1.77,13865.0,2.09,16371.666666666664,0.0,0.0,2024-04
GEAR GIGI MIXER MASPION SEPASANG,2.32,18260.333333333332,3.15,24793.125,2.8179999999999996,22180.008333333328,6.0,47400.0,2024-04
GEAR GIGI MIXER MIYAKO HM 620 625 650 GRIGI SESET SEPASANG,21.64,163860.28535031847,31.48,238369.76815286625,27.543999999999997,208565.9750318471,9.0,76500.0,2024-04
GEAR GIGI MIXER MIYAKO HM 625 HM 620 628 650 GRIGI,12.16,47236.92307692308,14.57,56598.846153846156,13.606,52854.07692307692,34.0,136000.0,2024-04
GEAR GIGI MIXER PHILIP SESET SEPASANG.,6.5,50050.0,11.59,89243.0,9.554,73565.8,2.0,15800.0,2024-04
GEAR KOPEL BLENDER PHILIP BARU 2061 2071 2115 2116 PLASTIK GIGI BAGUS,15.45,48740.377358490565,2.47,7792.150943396227,7.662,24171.441509433964,2.0,7000.0,2024-04
GEAR KOPEL BLENDER PHILIP BARU 2061 2071 2115 2116 PLASTIK GIGI PISAU,6.19,17470.741379310348,3.57,10076.01724137931,4.618,13033.906896551725,0.0,0.0,2024-04
GEAR KOPEL BLENDER PHILIP LAMA 2815 COPEL BAUT UPPER MOUNTING PISAU,4.05,11128.153846153846,5.88,16156.430769230768,5.148,14145.119999999999,0.0,0.0,2024-04
GEARBOX KIPAS ANGIN COSMOS / SEKAI / MIYAKO / RRT KOTAK GEARBOK GIRBOK,7.99,66333.97222222222,28.71,238353.98529411765,20.422,169545.98006535947,2.0,17800.0,2024-04
GEARBOX WALLFAN MIYAKO TARIK WALL FAN GEAR BOX KIPAS ANGIN DINDING,3.22,47789.88421052632,2.35,34877.710526315794,2.6980000000000004,40042.58000000001,8.0,120000.0,2024-04
Gear Kopel Maspion Upper Blender Mounting Baut Pisau Flange gigi Spare,8.98,26157.3155862069,15.25,44420.83103448276,12.742,37115.424855172416,0.0,0.0,2024-04
Gear Kopel Maspion Upper Blender Mounting Baut Pisau Flange gigi putih,4.4,13794.814814814816,4.77,14954.833333333332,4.622,14490.825925925925,0.0,0.0,2024-04
Gear box kipas angin Maspion bintang girbok/gear bok kipas angin12 16,1.42,17837.65862857143,3.36,42207.4176,2.584,32459.514011428575,1.0,14700.0,2024-04
"Gear box/girbox/gearbox/gear bok kipas angin Cosmos Miyako,umum.rrt",5.35,35461.033797216696,24.57,162855.62624254473,16.881999999999998,111897.7892644135,30.0,204800.0,2024-04
"Gigi konektor Miyako lama gear lower panasonic,nasional drat besar POM",34.6,118863.9455782313,28.94,99419.72789115646,31.204,107197.4149659864,4.0,14400.0,2024-04
Gigi konektor blender Miyako drat lubang kecil gear lower National,5.26,18620.399999999998,1.6,5664.0,3.064,10846.56,0.0,0.0,2024-04
Gigi konektor blender Miyako drat lubang kecil gear lower National RRT,21.51,73665.629628866,68.89,235928.64830927836,49.937999999999995,171023.4408371134,22.0,76800.0,2024-04
IMPELLER JET DAB 370 KIPAS IMPELAR GADING MESIN POMPA AIR SPAREPARTS,3.06,72050.25,1.6,37673.333333333336,2.184,51424.1,5.0,122500.0,2024-04
IMPELLER KUNINGAN NATIONAL PANASONIC GP 125 129 POMPA AIR KIPAS SANEI,4.18,111680.54777070062,3.36,89771.92356687898,3.6879999999999997,98535.37324840763,2.0,59000.0,2024-04
IMPELLER KUNINGAN POMPA AIR SHIMIZU PS 105 130 135 KIPAS GOLSTAR SANEI,8.23,227644.31297709924,3.37,93215.22900763359,5.314,146986.86259541984,4.0,119200.0,2024-04
IMPELLER KUNINGAN PS 226 230 SHIMIZU POMPA AIR KIPAS BIT SPAREPARTS.,1.73,83939.6,1.04,50460.8,1.316,63852.32,1.0,49000.0,2024-04
IMPELLER KUNINGAN SANYO SY 136 PWH IMPELER KIPAS POMPA AIR,1.11,29855.828571428578,0.2,5379.4285714285725,0.5640000000000001,15169.988571428574,0.0,0.0,2024-04
KABEL TIES 10CM CABLE TIES KABEL TIS CABLE TIE 2.5 × 100MM ISI 100PCS,3.0,14536.58536585366,1.03,4990.89430894309,1.818,8809.170731707318,2.0,11000.0,2024-04
"KAPASITOR 1,5UF, 2UF, 2,5UF, 3UF, 3,5UF MIKRO CAPASITOR KIPAS ANGIN - 1,5UF",97.04,346176.31181486,66.2,236159.02557856275,78.536,280165.94007308164,47.0,169200.0,2024-04
"KAPASITOR 1,5UF, 2UF, 2,5UF, 3UF, 3,5UF MIKRO CAPASITOR KIPAS ANGIN - 2,5UF",77.97,385990.03542009887,61.2,302970.24711696873,67.908,336178.1624382208,16.0,83200.0,2024-04
"KAPASITOR 1,5UF, 2UF, 2,5UF, 3UF, 3,5UF MIKRO CAPASITOR KIPAS ANGIN - 2UF",105.27,504516.86348684214,97.58,467661.7796052632,100.656,482403.8131578948,112.0,548800.0,2024-04
"KAPASITOR 1,5UF, 2UF, 2,5UF, 3UF, 3,5UF MIKRO CAPASITOR KIPAS ANGIN - 3,5UF",18.91,125336.80701754386,22.22,147275.71929824562,20.896,138500.1543859649,5.0,34000.0,2024-04
"KAPASITOR 1,5UF, 2UF, 2,5UF, 3UF, 3,5UF MIKRO CAPASITOR KIPAS ANGIN - 3UF",31.05,177607.70604395604,26.76,153068.67032967033,28.476000000000003,162884.28461538465,12.0,69600.0,2024-04
"KAPASITOR 1.5UF 1,5UF 1.5 UF 1,5 UF 450V MIKRO CAPASITOR KIPAS ANGIN",81.44,286288.3503649635,79.77,280417.7518248175,80.43799999999999,282765.99124087585,239.0,791300.0,2024-04
KAPASITOR 10 UF 450V KOTAK KABEL SAN EI CAPACITOR PETAK POMPA AIR,2.54,35788.6,1.85,26066.5,2.1260000000000003,29955.340000000004,12.0,176800.0,2024-04
KAPASITOR 100UF 100 MFD UF 250V 250 VAC CAPASITOR STARTING AC MOTOR,2.79,83485.38461538461,1.08,32316.923076923078,1.7640000000000002,52784.307692307695,1.0,31000.0,2024-04
KAPASITOR 12 UF 450V KOTAK KABEL SAN EI CAPACITOR PETAK POMPA AIR,1.73,27011.378378378377,0.93,14520.567567567568,1.25,19516.891891891893,4.0,67600.0,2024-04
KAPASITOR 150UF 150 MFD UF 250V 250 VAC CAPASITOR STARTING AC MOTOR,4.7,169200.0,1.42,51120.0,2.732,98352.00000000001,2.0,72000.0,2024-04
KAPASITOR 200UF 200 MFD UF 250V 250 VAC CAPASITOR STARTING AC MOTOR,2.2,96429.47368421053,1.28,56104.42105263158,1.6480000000000001,72234.44210526317,0.0,0.0,2024-04
KAPASITOR 250UF 250 MFD UF 250V 250 VAC CAPASITOR STARTING AC MOTOR,2.23,122650.0,0.96,52800.0,1.468,80740.0,1.0,55000.0,2024-04
KAPASITOR 2UF 2 UF 400V 400 V 450V 450 V VOLT CAPASITOR KIPAS ANGIN,11.05,51448.8,14.97,69700.32,13.402000000000001,62399.71200000001,13.0,63700.0,2024-04
KAPASITOR 3 UF 450V 3UF 450 V 400 VOLT CAPASITOR 3 MICKO KIPAS ANGIN,4.58,27059.717647058824,1.45,8566.941176470587,2.702,15964.051764705882,10.0,63000.0,2024-04
KAPASITOR 300UF 300 MFD UF 250V 250 VAC CAPASITOR STARTING AC MOTOR,2.48,153760.0,1.38,85560.0,1.8199999999999998,112839.99999999999,2.0,124000.0,2024-04
KAPASITOR 30UF 450 VAC CAPASITOR BULET CONDENSATOR SPAREPARTS DINAMO,5.76,176296.13114754096,3.1,94881.59836065574,4.164,127447.41147540983,5.0,165000.0,2024-04
KAPASITOR 35 UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPARTS,5.23,191021.477124183,2.83,103363.43790849674,3.79,138426.65359477123,1.0,38000.0,2024-04
KAPASITOR 4 UF 450V 4UF 450 V POMPA AIR CAPASITOR,7.37,68266.3,24.84,230086.14545454545,17.852,165358.20727272728,10.0,99000.0,2024-04
KAPASITOR 40UF 450VAC CAPASITOR 40 UF 450 VAC BULET CONDENSATOR,4.92,196149.6551724138,2.37,94486.72413793104,3.3899999999999997,135151.89655172412,15.0,570000.0,2024-04
KAPASITOR 5 UF 450 V KOTAK CAPACITOR PETAK POMPA AIR SAN EI,16.25,158942.41071428574,25.63,250688.86071428572,21.878,213990.28071428573,7.0,87500.0,2024-04
KAPASITOR 50 UF 50UF 450VAC 450 VAC CAPASITOR BULET CONDENSATOR,11.2,536097.4769230769,12.46,596408.4430769231,11.956,572284.0566153846,4.0,196000.0,2024-04
KAPASITOR 500UF 500 MFD UF 250V 250 VAC CAPASITOR STARTING AC MOTOR,1.64,145960.0,0.17,15130.000000000002,0.758,67462.0,0.0,0.0,2024-04
KAPASITOR 6 UF 450V KOTAK KABEL CAPACITOR PETAK SAN EI POMPA AIR.,8.02,97354.9756097561,2.48,30104.78048780488,4.696,57004.858536585365,12.0,146800.0,2024-04
KAPASITOR 8 UF 450V KOTAK KABEL SAN EI CAPACITOR PETAK POMPA AIR,4.43,59408.905882352934,2.89,38756.6,3.5060000000000002,47017.522352941174,3.0,47700.0,2024-04
KAPASITOR POMPA AIR 10UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPART,4.55,65463.61111111111,15.3,220130.38461538462,11.0,158263.67521367522,3.0,49200.0,2024-04
KAPASITOR POMPA AIR 12UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPARTS,9.75,152431.8062827225,15.76,246392.33507853403,13.356,208808.1235602094,13.0,199700.0,2024-04
KAPASITOR POMPA AIR 14 UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPART,9.07,151800.12698412698,14.08,235650.03174603175,12.076,202110.06984126984,3.0,53700.0,2024-04
KAPASITOR POMPA AIR 16UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPARTS,6.47,118703.9758308157,18.53,339966.71903323266,13.706,251461.62175226587,3.0,59700.0,2024-04
KAPASITOR POMPA AIR 20UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPARTS,13.22,315075.7086956522,21.44,510985.1130434783,18.152,432621.3513043478,14.0,341600.0,2024-04
KAPASITOR POMPA AIR 20UF 450VAC CAPASITOR KOTAK 20 UF 450V CONDENSATOR,2.91,69208.67796610169,0.73,17361.627118644068,1.602,38100.447457627124,3.0,71700.0,2024-04
KAPASITOR POMPA AIR 25UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPARTS,5.7,154683.44680851063,9.45,256448.8723404255,7.949999999999999,215742.70212765955,1.0,30000.0,2024-04
KAPASITOR POMPA AIR 6 UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPARTS,9.66,113117.80165289257,19.62,229748.57851239672,15.636000000000001,183096.26776859505,5.0,65500.0,2024-04
KAPASITOR POMPA AIR 8UF 450VAC CAPASITOR BULET CONDENSATOR SPAREPARTS,6.5,89281.40000000001,15.64,214824.784,11.984,164607.4304,0.0,0.0,2024-04
KARET SEAL ORING BLENDER BUMBU CHOPPER GELAS NATIONAL MIYAKO PAKING,5.01,17769.043795620437,12.48,44263.00729927007,9.491999999999999,33665.421897810214,6.0,23400.0,2024-04
KARET SEAL ORING BLENDER PHILIP 1741,2.38,9520.0,0.6,2400.0,1.3119999999999998,5247.999999999999,0.0,0.0,2024-04
KIPAS IMPELLER JET DAB 255 IMPELAR GADING MESIN POMPA AIR SPAREPARTS,2.79,62065.54285714286,1.34,29809.257142857146,1.9200000000000002,42711.77142857143,0.0,0.0,2024-04
KIPAS PENDINGIN GP 125 NATIONAL NASIONAL PANASONIC FAN POMPA AIR,2.72,13705.290322580648,0.39,1965.0967741935485,1.322,6661.174193548388,1.0,5000.0,2024-04
KLEP TABOK KARET SEDOT PLENES POMPA AIR PLENNES PLANES OVAL PACKING,1.8,4956.18320610687,3.37,9279.076335877862,2.742,7549.919083969466,24.0,69600.0,2024-04
KNOP KOMPOR GAS HITACHI TODACHI TOMBOL PUTARAN CETEKAN PEMANTIK,3.78,10306.05882352941,1.19,3244.5,2.226,6069.123529411765,1.0,2900.0,2024-04
