bulan,aktual,pred_arima,pred_lstm,pred_ens,w_arima,w_lstm
2024-04,12248900.0,13553826.334161595,12933502.952255312,13181632.305017825,0.4,0.6
2024-05,6114200.0,11324732.792638063,10178859.015514534,10637208.526363946,0.4,0.6
2024-06,1745800.0,2083038.6183607834,1707938.1567460936,1857978.3413919697,0.4,0.6
2024-07,3420200.0,4859489.713887661,3986083.130080034,4428771.393780816,0.51,0.49
2024-08,5895225.0,9546118.842551151,7827494.086062527,8686087.526771817,0.5,0.5
2024-09,12046400.0,16150712.093659515,14892492.725710765,15547120.448664684,0.52,0.48
2024-10,14812400.0,15796322.961291956,15650016.395376716,15726754.099813988,0.52,0.48
2024-11,14015450.0,16322566.055612624,16831012.17810875,16562122.667788267,0.53,0.47
2024-12,4747175.0,6608696.316151184,7287532.28556,6921208.545318073,0.54,0.46
2025-01,7832075.0,8657443.11808988,11676920.432804516,10017689.491925716,0.55,0.45
2025-02,12631200.0,14439472.25173879,19282788.57870307,16592508.690054558,0.56,0.44
2025-03,13052400.0,13476182.405897008,14998376.553174745,14133061.19019368,0.57,0.43
